code,authors,year,title,main_topic,geo,deduced or present,tags,measures_all,age_group,langs,procedure,long_cross,n,notes,n_bboys,n_bgirls,n_mboys,n_mgirls,n_boys,n_girls,n_mono,n_bi,attrition(n),% dropped,instrument (for eye tracker studies or brain imagining),methodology or paradigm,online/offline coding,DV,lab_home,age_low,age_max,age_mean,age_SD,bi_def_present,do they describe the %,mono range (L1),bi range (L2),mono_definition,mono_def_present,mono_concept,bi_definition,mono_cutoff,bi_cutoff,modified version,bi_measure,family_bi_measure,concept,bi_measure_more,cum/curr,adm_lang_quest,#study,"if comparing, diff?",results_mono,results_bi,results_other,Data collection,osf?,contact info,citation
36,"Ayneto, Alba

Sebastian-Galles, Nuria",2017,The influence of bilingualism on the preference for the mouth region of dynamic faces. [References].,face perception,"Barcelona, Spain",present,"bilingualism, communicative development, cues, infant development","*Bilingualism

*Communication

*Cues

*Infant Development

*Language Development

Face Perception

Preferences",8mo & 12mo,Catalan-SPN,,cross,88,"8mono(11b), 8mo bi(12b)22mono(11b), 22mo bi(11b) 22 in each age",24,20,22,22,46,42,44,44,32,26.67%,Tobii 60XL,eye tracking,,,lab,idk,idk,"mono&bi each 8mo = 233days, mono 12mo = 360days, bi 12mo= 356days","mono 8mo = 6.78days,  bi 8mo 7.8days ,mono 12mo = 8.55days, bi 12mo= 6.69days",yes,,,,>75% main language,y,exposure,up to 75% main language,75,25,yes,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)",idk,exposure,999,idk,4,1,yes,999,"The main result of this experiment is that bilingual infants looked more at the mouth region than bilingualinfants, regardless of the type of stimuli",older infantsincreasingly looked longer at the eyes and less at themouth than younger infants,idk,no,"Ayneto, Alba: alba.ayneto@upf.edu","Ayneto, A., & Sebastian-Galles, N. (2017). The influence of bilingualism on the preference for the mouth region of dynamic faces. Developmental Science, 20(1), 1–11. https://doi.org/10.1111/desc.12446"
36,"Ayneto, Alba

Sebastian-Galles, Nuria",2017,The influence of bilingualism on the preference for the mouth region of dynamic faces. [References].,face perception,"Barcelona, Spain",present,"bilingualism, communicative development, cues, infant development","*Bilingualism

*Communication

*Cues

*Infant Development

*Language Development

Face Perception

Preferences",8mo & 12mo,Catalan-SPN,,cross,48,the paper says 44,14,10,8,16,22,26,24,24,6,11.11%,Tobii 300TXLnear infrared eye tracker,eye tracking,,,lab,idk,idk,"mono 8mo = 241days,  bi 8mo 247days ,mono 12mo = 359days, bi 12mo= 352days","mono 8mo = 15.9days,  bi 8mo 15.21 days ,mono 12mo = 19.16days, bi 12mo= 17.67days",yes,,,,>75% main language,y,exposure,up to 75% main language,75,25,yes,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)",caregivers only,exposure,999,idk,4,2,yes,,"﻿At 8 months of age, bilingual infants looked longer at the mouth region compared to monolingual infants in all three conditions. However, at 12 months, both groups behaved in the same way. As discussed below, these data support the existence of a generalization of the attentional bias that bilingual language learning induces, and parallels the develop- mental path found by Pons et al. (2015).",999,idk,no,"Ayneto, Alba: alba.ayneto@upf.edu","Ayneto, A., & Sebastian-Galles, N. (2017). The influence of bilingualism on the preference for the mouth region of dynamic faces. Developmental Science, 20(1), 1–11. https://doi.org/10.1111/desc.12446"
37,"Wewalaarachchi, Thilanga D

Wong, Liang Hui

Singh, Leher",2017,"Vowels, consonants, and lexical tones: Sensitivity to phonological variation in monolingual Mandarin and bilingual English-Mandarin toddlers. [References].",phonological development,idk,not present,"Bilingualism, Spoken word recognition, Lexical tone, Phonological development, Language acquisition","*Consonants

*Infant Development

*Lexical Access

*Phonology

*Vowels

Bilingualism

Monolingualism

Child

Child, Preschool

Female

Humans

Infant

Language Development

Linguistics

Male

Multilingualism

Phonetics

Reading

Semantics

Singapore

Speech Acoustics

Speech Perception

Statistics as Topic

Verbal Learning",24mo,English-Mandarin,,one time,46,999,12,11,12,11,24,22,23,23,12,20.69%,﻿Tobii 60XL eye-tracking system,eye tracking,,,lab,"bilinguals= 23 months 13 days, monolinguals = 23 months 3 days","bilinguals= 26 months 1 day, monolinguals = 25 months 27 days","bilinguals= 24.43 months, monolinguals= 24.13 months",idk,yes,,,,90% exposure to mandarin,y,exposure,40 to 75 % mandarin,90,25,yes,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)",caregivers only,exposure,Caregivers were asked to indicate (a) the proportion of language (s) to which the child was typically exposed in interactions with all of his or her caregivers in the daily environment and (b) the proportion of time in a given week that each person spent with the child dur- ing the waking hours. The proportion of the child’s overall exposure to various languages was then cal- culated.,idk,4,1,yes,999,999,"﻿both groups of toddlers exhibited robust naming effects for correct pronunciations as well as robust mispronunciation effects for vowel, consonant, and tone mispronunciations. In addition, both groups of children demonstrated compara- ble sensitivities to mispronunciations of vowels, consonants, and tones. ﻿Second, as revealed by time course analysis, there were differences in the efficiency with which bilingual and monolingual chil- dren processed correct pronunciations and mispronunciations. As predicted, monolingual children demonstrated a processing advantage, exemplified by a higher proportion of fixations to the target when initially focused on the distractor for correct pronunciations, relative to bilingual children. Con- trary to predictions, however, bilingual children exhibited weaker sensitivity to tone mispronuncia- tions compared with monolingual children. Third, time course analyses revealed that bilingual and monolingual children exhibited different patterns of relative sensitivity to vowel, consonant, and tone mispronunciations. Bilingual children were most sensitive to vowel variation, followed by consonant variation and then tone variation, whereas monolingual children were equally sensitive to vowel and tone",idk,no,"Singh, Leher: leher.singh@gmail.com","Wewalaarachchi, T. D., Wong, L. H., & Singh, L. (2017). Vowels, consonants, and lexical tones : Sensitivity to phonological variation in monolingual Mandarin and bilingual English – Mandarin toddlers. Journal of Experimental Child Psychology, 159, 16–33. https://doi.org/10.1016/j.jecp.2017.01.009"
38,"Wermelinger, Stephanie

Gampe, Anja

Daum, Moritz M",2017,Bilingual toddlers have advanced abilities to repair communication failure. [References].,misunderstanding,Switzerland,present,"Language similarity, Daily experience, Communication breakdown, Misunderstanding, Development, Communication advantage","*Bilingualism

*Childhood Development

*Communication Skills

*Language Development

*Monolingualism

Failure",30mo,"Swiss German, Std German, Other",,one time,111,they were 137 first but bilinguals were selected later to match the monolinguals,34,40,20,17,54,57,37,74,26,18.98%,999,behavior,,,lab,idk,idk,"mono= 871, non german bi= 876, german bi =849","mono= 69, non german bi= 79, german bi =58",yes,,,,not present,not present,exposure,All bilingual children grew up with two languages from birth and had at least 20% input in each of their two languages,80,20,yes,own questionnaire,"﻿It included questions on parents’ work- ing hours, children’s waking hours, the amount of time spent in child care, and caregivers’ language backgrounds",exposure,caregivers only,idk,4,1,yes,999,999,"﻿The results show that the language status has no effect on 2.5-year-olds’ inference of the com- municative needs of a person who appears to be looking for something given that the three groups did not differ in their communication behavior in the search phase. In contrast, we found that non- German bilingual 2.5-year-olds are more likely to repair misunderstandings than monolingual and German bilingual children. The",idk,no,"Wermelinger, Stephanie: s.wermelinger@psychologie.uzh.ch","Wermelinger, S., Gampe, A., & Daum, M. M. (2017). Bilingual toddlers have advanced abilities to repair communication failure. Journal of Experimental Child Psychology, 155, 84–94. https://doi.org/10.1016/j.jecp.2016.11.005"
39,"Bree, Elise

Verhagen, Josje

Kerkhoff, Annemarie

Doedens, Willemijn

Unsworth, Sharon",2017,Language learning from inconsistent input: Bilingual and monolingual toddlers compared. [References].,"language acquisition, inconsistent input",idk,not present,"bilingualism, inconsistent input, language learning, non-adjacent dependencies, structural sensitivity hypothesis, toddlers","*Bilingualism

*Language Development

Early Childhood Development",24mo,Dutch-X,,one time,38,999,7,7,16,8,23,15,24,14,42,52.50%,﻿head‐turn preference,head turn,,,lab,idk,idk,"monolinguals= ﻿23.8 months , bilinguals 24",monolinguals and bilinguals= 12 days,yes,,,,not present,not present,idk,Toddlers were considered bilingual if they had been exposed to two languages from birth and if they had been exposed to one language at least 15% of the time,85,15,no,"UBiLEC (Utrecht Bilingual Language Exposure Calculator, Unsworth, 2013)",idk,exposure,999,idk,4,1,no,999,999,"Unexpectedly, neither group showed learning of the novel language pattern in the first experiment they were
exposed to, which contained consistent language input. That is, neither of the groups discriminated between trained and untrained trials in this experiment. In the inconsistent input experiment, in contrast, the bilingual group showed significant differences in looking time between the two types of test trials. The monolingual group did not show this difference. These findings were interpreted to reflect learning of the language pattern by the bilingual group, but not by the monolingual group. Finally,",idk,no,"Bree, Elise: e.h.debree@uva.nl","Bree, E. De, Verhagen, J., Kerkhoff, A., Doedens, W., & Unsworth, S. (2016). Language learning from inconsistent input : Bilingual and monolingual toddlers compared. Infant and Child Development, 26(4), 1–16. https://doi.org/10.1002/icd.1996"
40,"Bijeljac-Babic, Ranka

Hohle, Barbara

Nazzi, Thierry",2016,Early prosodic acquisition in bilingual infants: The case of the perceptual trochaic bias. [References].,prosodic acquisition,"Paris, France",present,"bilinguals, infants, language, prosody, lexical stress, dominance effects","*Bilingualism

*Infant Development

*Language Development

*Lexical Decision",6mo,French-German,,one time,24,999,8,16,0,0,8,16,0,24,2,7.69%,﻿Headturn Preference Paradigm (HPP) as,head turn,,,lab,6:00,7:04,6:06,idk,yes,,,,999,999,999,"Only infants exposed to both French and German between 30 to 70% of the time, and to no other languages, were included in the study",999,30,999,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",idk,exposure,999,idk,idk,1,999,999,"﻿The present study establishes the acquisition of a trochaic bias in French/German bilingual infants at 6 months of age, the same age at which this prosodic development has been found in monolingual infants (Höhle",999,idk,no,"Bijeljac-Babic, Ranka: ranka.bijeljacbabic@parisdescartes.fr","Bijeljac-Babic, R., Höhle, B., & Nazzi, T. (2016). Early Prosodic Acquisition in Bilingual Infants : The Case of the Perceptual Trochaic Bias. Frontiers in Psychology, 7(February), 1–8. https://doi.org/10.3389/fpsyg.2016.00210"
41,"Liu, Liquan

Kager, Rene",2015,Bilingual exposure influences infant VOT perception. [References].,speech perception,Netherlands,deduced from Acknowledgements,"Infant speech perception, Bilingualism, Language dominance, Voice onset time, Perceptual tuning, Perceptual turbulence","*Bilingualism

*Speech Perception

*Voice

*Native Language

*Exposure

Auditory Discrimination

Awareness

Female

Humans

Infant

Language Development

Male

Multilingualism

Phonetics

Speech Acoustics

Speech Perception","8mo-9mo, 11mo-12mo, & 14mo-15mo",Dutch-X,,cross,309,245 they said they had 245 participants but the table give us 309,idk,idk,idk,idk,idk,idk,120,189,36,10.43%,"﻿double-oddball visual habituation paradigm, based on the oddity visual habituation paradigm","﻿double-oddball visual habituation paradigm, based on the oddity visual habituation paradigm",,,lab,idk,idk,idk,idk,yes,no,999,999,not present,not present,exposure,no less than 20% for the non-dominant language. The,none,20,999,own questionnaire,idk,exposure,﻿a multilingual infant questionnaire designed by the author targeting specific hours of exposure to each language.,idk,idk,1,yes,999,999,"﻿Monolingual Dutch infants showed consistent sensitivity to the native long-lead but not the long-lag contrast. Facing a
similar VOT distribution in both languages, bilingual Dutch–Spanish/French infants performed similarly to their monolingual peers, with the exception of perceptual sensitivity to the long-lag but not the long-lead contrasts at 8–9 months. In addition, though hearing a 3-way VOT contrast in their native languages, bilingual Dutch–English/German/Chinese infants showed robust discrimination only towards the contrast in their dominant language after 8–9 months in the current experiment.",idk,no,"Liu, Liquan: l.liu@uu.nl; Kager, Rene: r.w.j.kager@uu.nl","Liu, L., & Kager, R. (2015). Bilingual exposure influences infant VOT perception. Infant Behavior and Development, 38, 27–36. https://doi.org/10.1016/j.infbeh.2014.12.004"
42,"Graf Estes, Katharine

Hay, Jessica F",2015,Flexibility in bilingual infants' word learning. [References].,Word learning,"Davis, CA US",present,"word learning, bilingual infants, word forms, language specialization","*Bilingualism

*Infant Development

*Language Development

*Vocabulary",14mo & 19mo,ENG-X,,cross,32,999,16,16,0,0,16,16,0,32,12,27.27%,﻿modified version of the Switch task,manual looking time,,,lab,"14mo=13.9, 19mo=19","14mo=15.1, 19mo=20.6","14mo= 14.5, 19mo 19.7",idk,yes,no,999,999,999,999,999,heard English for between 25% and 75% of their language exposure and a second language for the remaining 75%–25%,999,25,999,own questionnaire,idk,exposure,"﻿a parental report questionnaire and inter- view,",idk,4,1,999,999,"﻿The
interaction confirms that 19-month-old monolinguals and bilinguals showed different looking patterns. Bilinguals tended to detect when the label–object pairings were switched, whereas monolinguals did not.",999,2012-2014,no,"Graf Estes, Katharine: kgrafestes@ucdavis.edu","Estes, K. G., & Hay, J. F. (2015). Flexibility in Bilingual Infants ’ Word Learning. Child Development, 86(5), 1371–1385. https://doi.org/10.1111/cdev.12392"
42,"Graf Estes, Katharine

Hay, Jessica F",2015,Flexibility in bilingual infants' word learning. [References].,Word learning,"Davis, CA US",present,"word learning, bilingual infants, word forms, language specialization","*Bilingualism

*Infant Development

*Language Development

*Vocabulary",22mo,ENG-X,,one time,16,999,7,9,0,0,7,9,0,16,9,36.00%,﻿modified version of the Switch task,manual looking time,,,lab,22,23.5,2.5,idk,yes,no,999,999,999,999,999,heard English for between 25% and 75% of their language exposure and a second language for the remaining 75%–25%,999,25,999,own questionnaire,idk,exposure,"﻿a parental report questionnaire and inter- view,",idk,4,2,999,999,"﻿14- and 19-month-old bilingual infants learned object labels that differed in a non- native pitch contour contrast. They displayed flexi- bility in their interpretation of the types of sounds that act as words—young bilinguals treated distinct pitch contours as lexically contrastive even though they were not used contrastively in their own native languages. By 22 months of age, bilingual infants no longer displayed this flexibility. This",999,2012-2014,no,"Graf Estes, Katharine: kgrafestes@ucdavis.edu","Estes, K. G., & Hay, J. F. (2015). Flexibility in Bilingual Infants ’ Word Learning. Child Development, 86(5), 1371–1385. https://doi.org/10.1111/cdev.12392"
43,"Crivello, Cristina

Kuzyk, Olivia

Rodrigues, Monyka

Friend, Margaret

Zesiger, Pascal

Poulin-Dubois, Diane",2016,The effects of bilingual growth on toddlers' executive function. [References].,Executive Functions,"San Diego, California (monolinguals) & Montréal Canada (bilinguals)",present,"Bilingualism, Cognitive development, Executive function, Selective attention, Cognitive flexibility, Translation equivalents","*Bilingualism

*Cognitive Development

*Early Childhood Development

*Executive Function

*Cognitive Flexibility

Selective Attention",24mo & 30mo,ENG-FRN,,long,92,999,idk,idk,idk,idk,idk,idk,49,43,10,9.80%,"Executive funciton tasks: shape stroop task, delay task, multilocation task. ",behavior,,,lab,"wave1 Bilinguals: 22.1, wave 2 bilinguals: 28.8; wave 1 monolinguals: 22, wave 2 monolinguals: 29.8","wave1 Bilinguals: 25.4, wave 2 bilinguals: 33.5; wave 1 monolinguals: 22.5, wave 2 monolinguals: 32.9","wave1 Bilinguals: 24, wave 2 bilinguals: 30.91; wave 1 monolinguals: 23.18, wave 2 monolinguals: 30.95","wave1 Bilinguals: .88, wave 2 bilinguals: 1.02; wave 1 monolinguals: .69, wave 2 monolinguals: .78",yes,,,,at least 90% exposure to English,y,exposure,exposed to English and French from birth and having at least 20% exposure to their second language (L2),90,20,yes,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,"﻿If the child was exposed to a third language, it was at or below 10%. F",idk,4,1,yes,﻿a significant difference was found between monolinguals and bilinguals in their L1 on the MCDI. Monlinguals having more words than bilinguals in their L1,"﻿As expected, bilinguals had superior performance to monolinguals on the post-switch trials of the conflict tasks, although this effect was marginally significant (onnly when they combined both reverse categorization and stroop together)",no differences between groups across the other tasks,idk,no,"Poulin-Dubois, Diane: diane.poulindubois@concordia.ca","Crivello, C., Kuzyk, O., Rodrigues, M., Friend, M., Zesiger, P., & Poulin-Dubois, D. (2016). The effects of bilingual growth on toddlers’ executive function. Journal of Experimental Child Psychology, 141(August), 121–132. https://doi.org/10.1016/j.jecp.2015.08.004"
44,"Poulin-Dubois, Diane

Blaye, Agnes

Coutya, Julie

Bialystok, Ellen",2011,The effects of bilingualism on toddlers' executive functioning. [References].,Executive Functions,Canadian City,present,"bilingualism, toddlers, executive functioning, executive control","*Bilingualism

*Cognitive Ability

*Early Childhood Development

Cognitive Control

Analysis of Variance

Attention

Child, Preschool

Cognition

Concept Formation

Executive Function

Female

Humans

Male

Multilingualism

Problem Solving

Reaction Time

Recognition (Psychology)

Stroop Test

Task Performance and Analysis",24mo,ENG-FRN,,one time (divided in two visits),63,999,20,13,15,15,35,28,30,33,12,16.00%,"Executive funciton tasks: shape stroop task, delay tasks (gift and snack delay), multilocation task. ",behavior,,,lab,idk,idk,"24.4 monlinguals, 24.1 bilinguals",.8 monolinguals and bilinguals,yes,,,,Children whose exposure to their L1 was equal to or greater than 80% were included in the monolingual group (n,y,exposure,Children whose exposure to their L1 was less than 80% were included in the bilingual group,80,20,no,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,cum,4,1,yes,﻿a significant difference was found between monolinguals and bilinguals in their L1 on the MCDI. Monlinguals having more words than bilinguals in their L1,bilinguals identified more small fruits in the shape stroop task than monolinguals and no effects in the other EF tasks,999,idk,no,"Poulin-Dubois, Diane: diane.poulindubois@concordia.ca","Poulin-Dubois, D., Blaye, A., Coutya, J., & Bialystok, E. (2011). The effects of bilingualism on toddlers’ executive functioning. Journal of Experimental Child Psychology, 108(3), 567–579. https://doi.org/10.1016/j.jecp.2010.10.009"
45,"Legacy, Jacqueline

Zesiger, Pascal

Friend, Margaret

Poulin-Dubois, Diane",2016,"Vocabulary size, translation equivalents, and efficiency in word recognition in very young bilinguals. [References].",Vocabulary development,"Geneva, Switzerland for Monolinguals and Montreal, Canada for Bilinguals",present,"vocabulary, bilinguals, word recognition","*Bilingualism

*Infant Development

*Language Development

*Vocabulary

*Word Recognition",12mo-18mo,ENG-FRN,,one time,109,999,30,20,30,29,60,49,59,50,29,21.01%,"cdi, cct",behavior,,,lab,"1;3·19 monolinguals, 1;2·27 bilinguals","1;5·2 monolinguals, 1;7·3 bilinguals","1;4·9monolinguals, 1;5·9 bilinguals",idk,yes,,,,"infants’ exposure to their L1, French, be 90% or higher.",y,exposure," to have either French or English as their L1.  They also had to have been exposed to their L from birth, and not have been exposed to a third language (L) more than 0% of the time. ",90,idk,no,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)",yes,exposure,999,curr,4,1,yes,l1 vocab was not significantly different but total vocab was. ,With bilinguals knowing more words than monolinguals. No cct differences across the lang groups. ,999,idk,no,"Poulin-Dubois, Diane: diane.poulindubois@concordia.ca","Legacy, J., Zesiger, P., Friend, M., & Poulin-Dubois, D. (2016). Vocabulary size , translation equivalents , and efficiency in word recognition in very young bilinguals. Journal of Child Language, 43(4), 760–783."
46,"Brito, Natalie H

Sebastian-Galles, Nuria

Barr, Rachel",2015,"Differences in language exposure and its effects on memory flexibility in monolingual, bilingual, and trilingual infants. [References].",Memory flexibility,"Barcelona, Spain & Washington, D.C. US",present,"memory flexibility, memory, multilingualism, infant development","*Bilingualism

*Infant Development

*Language Development

*Memory

*Monolingualism",18mo,Catalan-SPN-ENG,,one time,60,12 monolinguals were additionally recruited for baseline group,idk,idk,idk,idk,28,32,30,30,8,11.76%,puppet diferred imitation task + hide the pots,behavior,,,idk,idk,idk,"Mono English = 18.37, bil English & Spanish = 18.70, Mono Spanish or Catalan  = 18.08,  Bil Spanish & Catalan = 18.04","Mono English = .30, bil English & Spanish = .54, Mono Spanish or Catalan  = .52,  Bil Spanish & Catalan = .48",yes,,,,not present (only described sample),not present,exposure,"Bilingual infants were defined as those who had been exposed to two languages on a daily basis from birth. ﻿only infants whose parents had different native languages (i.e., one parent’s first language was Spanish and the other parent’s first language was English) were included in the bilingual group",idk,idk,yes,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)",yes,exposure,999,cum,idk,1,yes,999,"﻿Both bilingual groups (English–Spanish and Spanish–
Catalan) were able to recall the target actions after a 30- minute delay and the relationship between bilingualism and memory flexibility was not related to working memory or productive vocabulary scores.",999,idk,no,"Brito, Natalie H.: nhb2111@columbia.edu","Brito, N. H., Sebastián-Gallés, N., & Barr, R. (2015). Differences in Language Exposure and its Effects on Memory Flexibility in Monolingual , Bilingual , and Trilingual Infants. Bilingualism: Language and Cognition, 18(4), 670–682. https://doi.org/10.1017/S1366728914000789"
47,"Brito, Natalie

Barr, Rachel",2014,Flexible memory retrieval in bilingual 6-month-old infants. [References].,Memory flexibility,idk,not present,"bilingualism, cognitive development, generalization, infant, memory","*Bilingualism

*Cognitive Development

*Cognitive Generalization

*Infant Development

*Memory

Child Development

Cognition

Female

Generalization (Psychology)

Humans

Infant

Male

Mental Recall

Multilingualism",6mo,ENG-X,,one time,58,"An additional 13 monolingual infants were assigned to the baseline control group (6 male, M=6 months, 14 days, SD=11 days).",15,13,13,17,28,30,30,28,5,7.94%,puppet diferred imitation task,behavior,,,idk,idk,idk,"mono=6 months, 21 days; bil=6 months, 17 days",mono= 13 days; bil= 11 days,yes,,,,not present (only described sample),not present,exposure,those who had been exposed to two languages on a daily basis from birth.,idk,idk,yes,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)",yes,exposure,999,cum,idk,1,yes,999,"after a 30-min delay, both monolingual and bilingual 6-month-olds can generalize across one perceptual feature, color, but only bilingual 6-month-olds are able to generalize across two perceptual features, both shape and color.",999,idk,no,"Brito, Natalie: nhb3@georgetown.edu","Brito, N., & Barr, R. (2014). Flexible memory retrieval in bilingual 6-month-old infants. Developmental Psychobiology, 56(5), 1156–1163. https://doi.org/10.1002/dev.21188"
48,"Brito, Natalie H

Grenell, Amanda

Barr, Rachel",2014,"Specificity of the bilingual advantage for memory: Examining cued recall, generalization, and working memory in monolingual, bilingual, and trilingual toddlers. [References].",Memory flexibility,"Washington, USA",present,"memory, bilingualism, infant development, deferred imitation, imitation, generalization, memory flexibility","*Bilingualism

*Cued Recall

*Infant Development

*Short Term Memory

Imitation (Learning)

Monolingualism",24mo,ENG-X,,one time,64,14 monolingual toddlers in the baseline control group and 14 in the trilingual group,idk,idk,idk,idk,32,32,18,18,10,13.51%,puppet diferred imitation task + spin the pots + parent child interaction,behavior,,,idk,idk,idk,24.5,0.39,yes,,,,not present (only described sample),not present,idk,those who had been exposed to two languages on a daily basis from birth and trilingual chil- dren were defined as children who had been exposed to three languages on a daily basis from birth,idk,idk,yes,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)",yes,exposure,999,cum,idk,1,yes,999,"﻿compared to the baseline control group, only the bilin- gual group was able to successfully recall the target actions when the perceptual features of the stimuli changed from encoding to retrieval, but bilingual scores were not statistically different from trilingual scores when only comparing across experimental groups",999,idk,no,"Brito, Natalie H.: nhb2111@columbia.edu","Brito, N. H., Grenell, A., & Barr, R. (2014). Specificity of the bilingual advantage for memory: examining cued recall, generalization, and working memory in monolingual, bilingual, and trilingual toddlers  . Frontiers in Psychology  . Retrieved from https://www.frontiersin.org/article/10.3389/fpsyg.2014.01369"
49,"Brito, Natalie

Barr, Rachel",2012,Influence of bilingualism on memory generalization during infancy. [References].,Memory flexibility,idk,not present,"bilingualism, memory generalization, infancy, cognitive advantages, lifespan, cognitive control","*Bilingualism

*Cognitive Development

*Infant Development

*Memory

*Cognitive Control

Life Span

Child Development

Cues

Female

Generalization (Psychology)

Humans

Imitative Behavior

Infant

Male

Memory

Multilingualism

Photic Stimulation

Time Factors",18mo,ENG-X,,one time,30,"﻿12 infants in the baseline group (six monolingual, six bilingual; M age = 18.98 months)",9,6,6,9,15,15,15,15,8,16.00%,puppet diferred imitation task,behavior,,,idk,idk,idk,"mono = 18.53, bilin= 18.68",idk,yes,,,,not present (only described sample),not present,idk,"Bilingual infants were defined as those who (1) had a
non-native English-speaking parent, (2) had a parent who predominantly spoke to them in a minority lan- guage at home, and who (3) had been exposed to two languages from birth.",idk,idk,yes,"Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)",yes,exposure,999,idk,idk,1,yes,999,"﻿the bilingual group (M = .93, SD = .96) had significantly higher imitation scores than both the monolingual group (M = .13, SD = .52, p = . 02) and baseline group (M = .17, SD = .39, p = .03).",999,IDK,no,"Brito, Natalie: nhb3@georgetown.edu","Brito, N., & Barr, R. (2012). Influence of bilingualism on memory generalization during infancy. Developmental Science, 15(6), 812–816. https://doi.org/10.1111/j.1467-7687.2012.1184.x"
50,"Garcia-Sierra, Adrian

Rivera-Gaxiola, Maritza

Percaccio, Cherie R

Conboy, Barbara T

Romo, Harriett

Klarman, Lindsay

Ortiz, Sophia

Kuhl, Patricia K",2011,"Bilingual language learning: An ERP study relating early brain responses to speech, language input, and later word production. [References].",Neuroscience,"San Antonio, Texas, U.S.",present,"bilingual language learning, event related brain potentials, speech processing, phonetics","*Bilingualism

*Brain

*Evoked Potentials

*Language Development

*Speech Perception

Phonetics",6mo-9mo & 10mo-12mo,ENG-SPN,,cross,27,999,"6-9mo=5, 12-15mo=9","6-9mo=7, 12-15mo=6",0,0,14,13,0,27,2,6.90%,ERP,eeg,999,ERP,both,idk,idk,"6-9mo=7.36, 10-12mo= 10.87","6-9mo=.81, 10-12mo= 1.36",yes,no,999,999,999,999,999,"The amount of exposure, on a scale of 1–10, was assigned to English and Spanish for each adult and then summed all adults for each participant",999,idk,999,"Bilingual questionnaire (Conboy, 2002;Conboy & Mills, 2006)",yes,exposure,999,cum,2,1,999,999,"﻿6–9 months bilinguals do not show neural discrimination of the Spanish or the English contrasts. However, by 10–12 months, infants show neural discrimination of both native contrasts. The MMN averaged across electrodes F3 and F4 corrobo- rate these findings by showing a continuous improvement in neural discrimination for both native phonetic contrasts over time.","﻿Specifically, only infants who have high exposure to English or Spanish show an MMN response at the older age and also show a positive MMR at the earlier age. ﻿We find that infants with relatively stronger early exposure to Spanish in the home subsequently produce more words in Spanish, whereas infants with relatively stronger early exposure to English in the home subsequently produce more words in English.",idk,no,"Kuhl, Patricia K.: pkkuhl@u.washington.edu","Garcia-Sierra, A., Rivera-Gaxiola, M., Percaccio, C. R., Conboy, B. T., Romo, H., Klarman, L., … Kuhl, P. K. (2011). Bilingual language learning: An ERP study relating early brain responses to speech, language input, and later word production. Journal of Phonetics, 39(4), 546–557. https://doi.org/10.1016/j.wocn.2011.07.002"
