"","code","study_num","year","age_group","location","country","groups","languages","mono_def_present","mono_definition","mono_concept","bi_concept","bi_def_present","bi_definition","bi_measure","cutoff_mono","cutoff_bi","attrition.n.","Data.collection","lab_home","citation","articles","if.comparing..diff."
"11",10,"1",2018,"15mo","Barcelona, Spain","Spain","Monolinguals= 0
Bilinguals= 38","Catalan-Spanish & Catalan-Other","NA",NA,"999","Exposure","Present","between 50%-50% or 25%-75%","The Language Exposure Assessment Tool (DeAnda, Bosch, Poulin- Dubois, Zesiger, & Friend, 2016)","NA","25%","9","IDK","lab","Birulés, J., Bosch, L., Brieke, R., Pons, F., & Lewkowicz, D. J. (2018). Inside bilingualism : Language background modulates selective attention to a talker’ s mouth. Developmental Science, 22(3), 1–11. https://doi.org/10.1111/desc.12755","Birulés, J., Bosch, L., Brieke, R., Pons, F., & Lewkowicz, D. J. (2018)","999"
"12",11,"1",2018,"4mo-8months","London, United Kingdom","United Kingdom","Monolinguals= 28
Bilinguals= 22","English-Other","Present","only english exposure","exposure","Exposure","Present","Unimodal bilinguals were frequently and regularly ex- posed to English and one or more additional spoken language(s). T","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","None","21","IDK","lab","Mercure, E., Kushnerenko, E., Goldberg, L., Bowden-Howl, H., Coulson, K., Johnson, M. H., & Macsweeney, M. (2019). Language experience influences audiovisual speech integration in unimodal and bimodal bilingual infants. Developmental Science, 22(1), 1–9. https://doi.org/10.1111/desc.12701","Mercure, E., Kushnerenko, E., Goldberg, L., Bowden-Howl, H., Coulson, K., Johnson, M. H., & Macsweeney, M. (2019)","no"
"13",12,"1",2018,"18mo","Australia","Australia","Monolinguals= 33
Bilinguals= 25","English-Other","Present","Acquiring English and did not have exposure to any other languages.","exposure","Exposure","Present","if infants received at least 20% exposure to one of their languages","Language Background Questionnaire (Sabourin, Leclerc, Lapierre, Burkholder, & Brien, 2016)","100%","20%","41","idk","lab","Kalashnikova, M., Escudero, P., & Kidd, E. (2018). The development of fastmapping and novel word retention strategies in monolingual and bilingual infants. Developmental Science, 21(6), 1–12. https://doi.org/10.1111/desc.12674","Kalashnikova, M., Escudero, P., & Kidd, E. (2018)","no"
"14",12,"2",2018,"24mo","Australia","Australia","Monolinguals= 18
Bilinguals= 14","English-Other","Present","Acquiring English and did not have exposure to any other languages.","exposure","Exposure","Present","if infants received at least 20% exposure to one of their languages","Language Background Questionnaire (Sabourin, Leclerc, Lapierre, Burkholder, & Brien, 2016)","100%","20%","4","idk","lab","Kalashnikova, M., Escudero, P., & Kidd, E. (2018). The development of fastmapping and novel word retention strategies in monolingual and bilingual infants. Developmental Science, 21(6), 1–12. https://doi.org/10.1111/desc.12674","Kalashnikova, M., Escudero, P., & Kidd, E. (2018)","yes"
"15",13,"1",2011,"18mo-24mo","Québec (Montréal), Canada","Canada","Monolinguals= 8
Bilinguals= 11","French-English","Present","Children acquiring English in a monolingual environment (i.e., less than 10% exposure to another language)","exposure","Exposure","Present","For the bilingual group, children were included if their parents reported during the first interview (i.e., at 18 or 36 months) that the child had been exposed to English from birth and had ongoing exposure to English ranging from between 45–85% of a typical week; a corresponding exposure to French from birth and ranging from 15–55% of a typical week was also required for this group.","own questionnaire","90%","15%","8","idk","lab","MACLeod, A. A., Laukys, K., & Rvachew, S. (2011). The impact of bilingual language learning on whole-word complexity and segmental accuracy among children aged 18 and 36 months. International Journal of Speech-Language Pathology, 13(6), 490-499.","MACLeod, A. A., Laukys, K., & Rvachew, S. (2011)","no"
"16",14,"1",2017,"10mo-11.5 mo","Singapore","Singapore","Monolinguals= 16
Bilinguals= 16","English-Mandarin","Present","80-90 L1","exposure","Exposure","Present","25% L2","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","80%","25%","7","idk","lab","Singh, L., Loh, D., & Xiao, N. G. (2017). Bilingual Infants Demonstrate Perceptual Flexibility in Phoneme Discrimination but Perceptual Constraint in Face Discrimination. Frontiers in Psychology, 8(1563), 1–9. https://doi.org/10.3389/fpsyg.2017.01563","Singh, L., Loh, D., & Xiao, N. G. (2017)","no"
"17",15,"1",2017,"9mo","Netherlands","Netherlands","Monolinguals= 18
Bilinguals= 18","Dutch-Other","Not Present","not present","idk","Exposure","Present","20%","Multilingual Infant Language Questionnaire (Liu & Kager 2016)","None","20%","6","idk","lab","Liu, L., & Kager, R. (2017). Enhanced music sensitivity in 9-month-old bilingual infants. Cognitive Processing, 18(1), 55–65. https://doi.org/10.1007/s10339-016-0780-7","Liu, L., & Kager, R. (2017)","no"
"18",15,"2",2017,"9mo","Netherlands","Netherlands","Monolinguals= 18
Bilinguals= 18","Dutch-Other","Not Present","not present","idk","Exposure","Present","20%","Multilingual Infant Language Questionnaire (Liu & Kager 2016)","None","20%","12","idk","lab","Liu, L., & Kager, R. (2017). Enhanced music sensitivity in 9-month-old bilingual infants. Cognitive Processing, 18(1), 55–65. https://doi.org/10.1007/s10339-016-0780-7","Liu, L., & Kager, R. (2017)","yes"
"19",16,"1",2017,"22mo","Barcelona, Spain","Spain","Monolinguals= 20
Bilinguals= 20","Catalan-Spanish","Not Present","not present","exposure","Exposure","Not Present","not present","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","None","None","12","idk","lab","Ramon-Casas, M., Fennell, C. T., & Bosch, L. (2017). Minimal-pair word learning by bilingual toddlers : the Catalan / e / - / ɛ / contrast revisited. Bilingualism: Language and Cognition, 20(3), 649–656. https://doi.org/10.1017/S1366728916001115","Ramon-Casas, M., Fennell, C. T., & Bosch, L. (2017)","no"
"20",17,"1",2017,"5mo–6mo, 8mo–9mo, 11mo–12mo, 14mo– 15mo, & 17mo–18mo","Not provided","Not provided","Monolinguals= 0
Bilinguals= 140","Dutch-Other","NA",NA,"999","Exposure","Present","more than 20%","Multilingual Infant Language Questionnaire (Liu & Kager 2016)","NA","20%","30","idk","lab","Liu, Liquan, & Kager, R. (2020). Perception of tones by bilingual infants learning non-tone. Bilingualism: Language and Cognitiona, 20(3), 561–575. https://doi.org/10.1017/S1366728916000183","Liu, Liquan, & Kager, R. (2020)","999"
"21",17,"2",2017,"5mo–6mo, 8mo–9mo, 11mo–12mo, 14mo– 15mo, & 17mo–18mo","Not provided","Not provided","Monolinguals= 0
Bilinguals= 140","Dutch-Other","NA",NA,"999","Exposure","Present","more than 20%","Multilingual Infant Language Questionnaire (Liu & Kager 2016)","NA","20%","24","idk","lab","Liu, Liquan, & Kager, R. (2020). Perception of tones by bilingual infants learning non-tone. Bilingualism: Language and Cognitiona, 20(3), 561–575. https://doi.org/10.1017/S1366728916000183","Liu, Liquan, & Kager, R. (2020)","999"
"22",18,"1",2017,"17mo-18mo","Canada","Canada","Monolinguals= 17
Bilinguals= 16","English-Other","Not Present","not present (only described sample)","exposure","Exposure","Present","Bilingual infants were exposed to English (> 25%) and at least one other language (> 25%)","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","25%","24","idk","lab","Kandhadai, P., Hall, D. G., & Werker, J. F. (2017). Second label learning in bilingual and monolingual infants. Developmental Science, 20(1), 1–14. https://doi.org/10.1111/desc.12429","Kandhadai, P., Hall, D. G., & Werker, J. F. (2017)","yes"
"23",19,"2",2017,"8mo","Québec (Montréal), Canada","Canada","Monolinguals= 0
Bilinguals= 29","French-English","NA","999","999","Exposure","Present","both English and French on a regular basis, with a minimum estimated input of 30% in each language, and no other language(s) contributing more than 5% to the child’s input.","own questionnaire","NA","30%","17","idk","lab","Polka, L., Orena, A. J., Sundara, M., & Worrall, J. (2017). Segmenting words from fluent speech during infancy – challenges and opportunities in a bilingual context. Developmental Science, 20(1), 1–14. https://doi.org/10.1111/desc.12419","Polka, L., Orena, A. J., Sundara, M., & Worrall, J. (2017)","999"
"24",19,"3",2017,"8mo","Québec (Montréal), Canada","Canada","Monolinguals= 0
Bilinguals= 14","French-English","NA","999","999","Exposure","Present","both English and French on a regular basis, with a minimum estimated input of 30% in each language, and no other language(s) contributing more than 5% to the child’s input.","own questionnaire","NA","30%","9","idk","lab","Polka, L., Orena, A. J., Sundara, M., & Worrall, J. (2017). Segmenting words from fluent speech during infancy – challenges and opportunities in a bilingual context. Developmental Science, 20(1), 1–14. https://doi.org/10.1111/desc.12419","Polka, L., Orena, A. J., Sundara, M., & Worrall, J. (2017)","999"
"25",20,"1",2017,"11mo","Washington, United States","United States","Monolinguals= 8
Bilinguals= 8","English-Spanish","Present","no regular exposure to languages other than English. ","exposure","Exposure","Present","regular exposure to English and Spanish  only through interactions with native speaker(s) from birth.","own questionnaire","None","None","17","idk","lab","Ramirez, N. F., Ramirez, R. R., Clarke, M., Taulu, S., & Kuhl, P. K. (2017). Speech discrimination in 11-month-old bilingual and monolingual infants : a magnetoencephalography study. Developmental Science, 20(1), 1–16. https://doi.org/10.1111/desc.12427","Ramirez, N. F., Ramirez, R. R., Clarke, M., Taulu, S., & Kuhl, P. K. (2017)","yes"
"26",21,"1",2017,"4mo","Basque Country","Basque Country","Monolinguals= 13
Bilinguals= 13","Basque-Spanish","Not Present","idk","idk","Can't be determined","Present","were exposed to both languages regularly","own questionnaire","None","None","9","idk","lab","Pejovic, J., & Molnar, M. (2017). The Development of Spontaneous Sound-Shape Matching in Monolingual and Bilingual Infants During the First Year. Developmental Psychology, 53(3), 581–586.","Pejovic, J., & Molnar, M. (2017)","no"
"27",21,"2",2017,"12mo","Basque Country","Basque Country","Monolinguals= 13
Bilinguals= 13","Basque-Spanish","Not Present","idk","idk","Can't be determined","Not Present","idk","own questionnaire","None","None","6","idk","lab","Pejovic, J., & Molnar, M. (2017). The Development of Spontaneous Sound-Shape Matching in Monolingual and Bilingual Infants During the First Year. Developmental Psychology, 53(3), 581–586.","Pejovic, J., & Molnar, M. (2017)","no"
"28",22,"1",2017,"11mo & 14mo","Washington, United States","United States","Monolinguals= 0
Bilinguals= 25","English-Spanish","NA",NA,"999","Exposure","Present","both English and Spanish were spo- ken in the home and that at least one parent reported Spanish as their first language.","own questionnaire","NA","None","idk","across a 3-year period, from 2008 through 2011.","home recording and lab coding","Ramírez-Esparza, N., García-Sierra, A., & Kuhl, P. K. (2017). The Impact of Early Social Interactions on Later Language Development in Spanish – English Bilingual Infants. Child Development, 88(4), 1216–1234. https://doi.org/10.1111/cdev.12648","Ramírez-Esparza, N., García-Sierra, A., & Kuhl, P. K. (2017)","999"
"29",23,"1",2019,"18mo","Not provided","Not provided","Monolinguals= 41
Bilinguals= 34","English-Other","Present","less than 20%","exposure","Exposure","Present","20% or above","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","80%","20%","36","idk","home","Barr, R., Rusnak, S. N., Brito, N. H., & Nugent, C. (2019). Actions speak louder than words : Differences in memory flexibility between monolingual and bilingual 18 ‐ month ‐ olds. Developmental Science, 23(2), 1–13. https://doi.org/10.1111/desc.12881","Barr, R., Rusnak, S. N., Brito, N. H., & Nugent, C. (2019)","yes"
"30",24,"2",2019,"8mo & 10mo","Québec (Montréal), Canada","Canada","Monolinguals= 0
Bilinguals= 36","French-English","NA","999","999","Exposure","Present","at least 30% their native languages (results report not as preliminary definition)","own questionnaire","NA","30%","10","idk","lab","Orena, A. J., & Polka, L. (2019). Monolingual and bilingual infants ’ word segmentation abilities in an inter ‐ mixed dual ‐ language task. Infancy, 24(5), 718–737. https://doi.org/10.1111/infa.12296","Orena, A. J., & Polka, L. (2019)","999"
"31",25,"1",2019,"18mo-20mo","Singapore","Singapore","Monolinguals= 36
Bilinguals= 35","English-Mandarin","Present",">90%","exposure","Exposure","Present","at least 30% their native languages (results report not as preliminary definition)","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","90%","30%","12","﻿April 2016–November 2017","lab","Singh, L., Quinn, P. C., Xiao, N. G., & Lee, K. (2019). Monolingual but not bilingual infants demonstrate racial bias in social cue use. Developmental Science, 22(6), 1–11. https://doi.org/10.1111/desc.12809","Singh, L., Quinn, P. C., Xiao, N. G., & Lee, K. (2019)","yes"
"32",26,"1",2019,"6mo","Toronto, Canada","Canada","Monolinguals= 10
Bilinguals= 10","English-Other","Not Present","idk","idk","Can't be determined","Not Present","idk","Language Social Background Questionnaire (LSBQ, adapted from Anderson Mak, Chahi, & Bialystok, 2018)","None","None","12","idk","lab","Comishen, K. J., Bialystok, E., & Adler, S. A. (2019). The impact of bilingual environments on selective attention in infancy. Developmental Science, 22(4), 1–11. https://doi.org/10.1111/desc.12797","Comishen, K. J., Bialystok, E., & Adler, S. A. (2019)","no"
"33",26,"2",2019,"6mo","Toronto, Canada","Canada","Monolinguals= 20
Bilinguals= 20","English-Other","Not Present","idk","idk","Can't be determined","Not Present","idk","Language Social Background Questionnaire (LSBQ, adapted from Anderson Mak, Chahi, & Bialystok, 2018)","None","None","38","idk","lab","Comishen, K. J., Bialystok, E., & Adler, S. A. (2019). The impact of bilingual environments on selective attention in infancy. Developmental Science, 22(4), 1–11. https://doi.org/10.1111/desc.12797","Comishen, K. J., Bialystok, E., & Adler, S. A. (2019)","yes"
"34",27,"1",2018,"19mo-20mo","Not provided","Not provided","Monolinguals= 20
Bilinguals= 20","English-Mandarin","Present","at least 90% their L1","exposure","Exposure","Present","at least 30% either language","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","90%","30%","10","April 2016 and Jan-uary 2017.","lab","Singh, L. (2018). Bilingual Infants Demonstrate Advantages in Learning Words in a Third Language. Child Development, 89(4), 397–413. https://doi.org/10.1111/cdev.12852","Singh, L. (2018)","yes"
"35",27,"2a",2018,"18mo-20mo","Not provided","Not provided","Monolinguals= 8
Bilinguals= 8","English-Mandarin","Present","at least 90% their L1","exposure","Exposure","Present","at least 30% either language","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","90%","30%","5","April 2016 and January 2017.","lab","Singh, L. (2018). Bilingual Infants Demonstrate Advantages in Learning Words in a Third Language. Child Development, 89(4), 397–413. https://doi.org/10.1111/cdev.12852","Singh, L. (2018)","no"
"36",27,"2b",2018,"18mo-20mo","Not provided","Not provided","Monolinguals= 20
Bilinguals= 20","English-Mandarin","Present","at least 90% their L1","exposure","Exposure","Present","at least 30% either language","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","90%","30%","10","April 2016 and January 2017.","lab","Singh, L. (2018). Bilingual Infants Demonstrate Advantages in Learning Words in a Third Language. Child Development, 89(4), 397–413. https://doi.org/10.1111/cdev.12852","Singh, L. (2018)","no"
"37",28,"2",2018,"17mo","Singapore,Malaysia","Singapore,Malaysia","Monolinguals= 0
Bilinguals= 32","English-Mandarin","NA","999","999","Exposure","Not Present","idk","own questionnaire","NA","None","5","idk","lab","Burnham, D., Singh, L., Mattock, K., Woo, P. J., & Kalashnikova, M. (2018). Constraints on Tone Sensitivity in Novel Word Learning by Monolingual and Bilingual Infants : Tone Properties Are More Influential than Tone Familiarity. Frontiers in Psychology, 8(2190), 1–14. https://doi.org/10.3389/fpsyg.2017.02190","Burnham, D., Singh, L., Mattock, K., Woo, P. J., & Kalashnikova, M. (2018)","999"
"38",29,"1",2018,"6mo & 9mo","Singapore","Singapore","Monolinguals= 80
Bilinguals= 40","English-Mandarin","Present","at least 90% their L1","exposure","Exposure","Present","at least 25% of their L2","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","90%","25%","11","idk","lab","Singh, L., Fu, C. S. L., Hui, X., Tong, A. P. Y., Wang, J. L., & Best, C. T. (2018). Developmental change in tone perception in Mandarin monolingual , English monolingual , and Mandarin – English bilingual infants : Divergences between monolingual and bilingual learners. Journal of Experimental Child Psychology, 173, 59–77. https://doi.org/10.1016/j.jecp.2018.03.012","Singh, L., Fu, C. S. L., Hui, X., Tong, A. P. Y., Wang, J. L., & Best, C. T. (2018)","yes"
"39",29,"2",2018,"12mo","Singapore","Singapore","Monolinguals= 20
Bilinguals= 20","English-Mandarin","Present","at least 90% their L1","exposure","Exposure","Present","at least 25% of their L2","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","90%","25%","5","idk","lab","Singh, L., Fu, C. S. L., Hui, X., Tong, A. P. Y., Wang, J. L., & Best, C. T. (2018). Developmental change in tone perception in Mandarin monolingual , English monolingual , and Mandarin – English bilingual infants : Divergences between monolingual and bilingual learners. Journal of Experimental Child Psychology, 173, 59–77. https://doi.org/10.1016/j.jecp.2018.03.012","Singh, L., Fu, C. S. L., Hui, X., Tong, A. P. Y., Wang, J. L., & Best, C. T. (2018)","no"
"40",30,"1",2018,"7mo-8mo","Singapore","Singapore","Monolinguals= 20
Bilinguals= 20","English-Mandarin","Not Present","idk","idk","Exposure","Present","at least 30%","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","None","30%","13","idk","lab","Singh, L. (2017). He said , she said : effects of bilingualism on cross-talker word recognition in infancy. Journal of Child Language, 45(2), 498–510.","Singh, L. (2017)","no"
"41",31,"2",2018,"14mo","California (Northern California), United States","United States","Monolinguals= 0
Bilinguals= 23","English-Other","NA",NA,"999","Exposure","Present","between 25%-75%","own questionnaire","NA","25%","10","idk","lab","Antovich, D. M., & Estes, K. G. (2018). Learning across languages : bilingual experience supports dual language statistical word segmentation. Developmental Science, 21(2), 1–11. https://doi.org/10.1111/desc.12548","Antovich, D. M., & Estes, K. G. (2018)","999"
"42",32,"1",2018,"14mo-15mo","Netherlands","Netherlands","Monolinguals= 20
Bilinguals= 20","Dutch-Other","Not Present","not present","idk","Exposure","Present","not less than 20%","Multilingual Infant Language Questionnaire (Liu & Kager 2016)","None","20%","14","idk","lab","Liu, L., & Kager, R. (2018). Monolingual and Bilingual Infants ’ Ability to Use Non-native Tone for Word Learning Deteriorates by the Second Year After Birth. Frontiers in Psychology, 9(117), 1–12. https://doi.org/10.3389/fpsyg.2018.00117","Liu, L., & Kager, R. (2018)","no"
"43",32,"2",2018,"17mo-18mo","Netherlands","Netherlands","Monolinguals= 20
Bilinguals= 20","Dutch-Other","Not Present","not present","idk","Exposure","Present","not less than 20%","Multilingual Infant Language Questionnaire (Liu & Kager 2016)","None","20%","11","idk","lab","Liu, L., & Kager, R. (2018). Monolingual and Bilingual Infants ’ Ability to Use Non-native Tone for Word Learning Deteriorates by the Second Year After Birth. Frontiers in Psychology, 9(117), 1–12. https://doi.org/10.3389/fpsyg.2018.00117","Liu, L., & Kager, R. (2018)","no"
"44",33,"1",2018,"17mo-18mo","Not provided","Not provided","Monolinguals= 24
Bilinguals= 24","English-Mandarin","Present","at least 90%","exposure","Exposure","Present","at least 30%","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 1997)","90%","30%","3","February 2014 and September 2016","lab","Singh, L., Fu, C. S. L., Tay, Z. W., & Golinkoff, R. M. (2018). Novel Word Learning in Bilingual and Monolingual Infants: Evidence for a Bilingual Advantage. Child Development, 89(3), 183–198. https://doi.org/10.1111/cdev.12747","Singh, L., Fu, C. S. L., Tay, Z. W., & Golinkoff, R. M. (2018)","yes"
"45",34,"1",2018,"6mo-12mo","United States","United States","Monolinguals= 27
Bilinguals= 33","English-Other","Present","at least 90% of primary lang","exposure","Exposure","Present","who had been exposed to English and another language and were exposed to English 20–85% of the day","own questionnaire","90%","20%","21","idk","lab","Tsang, T., Atagi, N., & Johnson, S. P. (2018). Selective attention to the mouth is associated with expressive language skills in monolingual and bilingual infants. Journal of Experimental Child Psychology, 169, 93–109. https://doi.org/10.1016/j.jecp.2018.01.002","Tsang, T., Atagi, N., & Johnson, S. P. (2018)","no"
"46",35,"1",2018,"15mo-19mo & 21mo-26mo","Québec (Eastern Canada), Canada & Canton of Geneva, Switzerland","Canada,Switzerland","Monolinguals= 52
Bilinguals= 34","French-English","Present","at least 90%","exposure","Exposure","Present","at least 20%","The Language Exposure Assessment Tool (DeAnda, Bosch, Poulin- Dubois, Zesiger, & Friend, 2016)","90%","20%","18","idk","lab","Legacy, J., Zesiger, P., Friend, M., & Poulin-Dubois, D. (2019). Vocabulary size and speed of word recognition in very young French – English bilinguals : A longitudinal study. Bilingualism: Language and Cognition, 21(1), 137–149. https://doi.org/10.1017/S1366728916000833","Legacy, J., Zesiger, P., Friend, M., & Poulin-Dubois, D. (2019)","no"
"47",36,"1",2017,"8mo & 12mo","Barcelona, Spain","Spain","Monolinguals= 44
Bilinguals= 44","Catalan-Spanish","Present",">75% main language","exposure","Exposure","Present","up to 75% main language","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","75%","25%","32","idk","lab","Ayneto, A., & Sebastian-Galles, N. (2017). The influence of bilingualism on the preference for the mouth region of dynamic faces. Developmental Science, 20(1), 1–11. https://doi.org/10.1111/desc.12446","Ayneto, A., & Sebastian-Galles, N. (2017)","yes"
"48",36,"2",2017,"8mo & 12mo","Barcelona, Spain","Spain","Monolinguals= 24
Bilinguals= 24","Catalan-Spanish","Present",">75% main language","exposure","Exposure","Present","up to 75% main language","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","75%","25%","6","idk","lab","Ayneto, A., & Sebastian-Galles, N. (2017). The influence of bilingualism on the preference for the mouth region of dynamic faces. Developmental Science, 20(1), 1–11. https://doi.org/10.1111/desc.12446","Ayneto, A., & Sebastian-Galles, N. (2017)","yes"
"49",37,"1",2017,"24mo","Not provided","Not provided","Monolinguals= 23
Bilinguals= 23","English-Mandarin","Present","90% exposure to mandarin","exposure","Exposure","Present","40 to 75 % mandarin","Language Exposure Questionnaire (Bosch & Sebastián-Gallés, 2001)","90%","25%","12","idk","lab","Wewalaarachchi, T. D., Wong, L. H., & Singh, L. (2017). Vowels, consonants, and lexical tones : Sensitivity to phonological variation in monolingual Mandarin and bilingual English – Mandarin toddlers. Journal of Experimental Child Psychology, 159, 16–33. https://doi.org/10.1016/j.jecp.2017.01.009","Wewalaarachchi, T. D., Wong, L. H., & Singh, L. (2017)","yes"
